"site","day","pfpr_2_10","cases_0_5","cases_5_100","n_0_5","n_5_100","itn_use","n_smc"
"A",1,0.7,8,2,10512,39066,0,0
"A",2,0.7,8,1,10513,39065,0,0
"A",3,0.7,0,0,10513,39065,0,0
"A",4,0.7,3,3,10515,39063,0,0
"A",5,0.69,2,1,10517,39061,0,0
"A",6,0.69,4,0,10515,39063,0,0
"A",7,0.68,3,1,10519,39059,0,0
"A",8,0.68,3,2,10516,39062,0,0
"A",9,0.68,0,1,10515,39063,0,0
"A",10,0.67,0,1,10514,39064,0,0
"A",11,0.67,0,0,10509,39069,0,0
"A",12,0.67,1,0,10511,39067,0,0
"A",13,0.66,0,0,10511,39067,0,0
"A",14,0.66,0,1,10510,39068,0,0
"A",15,0.66,2,1,10513,39065,0,0
"A",16,0.65,0,0,10520,39057,0,0
"A",17,0.65,1,1,10519,39058,0,0
"A",18,0.65,1,0,10523,39054,0,0
"A",19,0.64,1,0,10521,39056,0,0
"A",20,0.64,1,0,10521,39057,0,0
"A",21,0.64,0,0,10522,39056,0,0
"A",22,0.63,0,0,10525,39053,0,0
"A",23,0.63,1,0,10523,39055,0,0
"A",24,0.63,0,1,10523,39055,0,0
"A",25,0.63,2,0,10524,39055,0,0
"A",26,0.62,0,0,10525,39054,0,0
"A",27,0.62,0,0,10524,39055,0,0
"A",28,0.61,0,0,10520,39059,0,0
"A",29,0.61,0,0,10513,39065,0,0
"A",30,0.61,0,0,10513,39065,0,0
"A",31,0.61,0,0,10511,39067,0,0
"A",32,0.6,1,0,10506,39072,0,0
"A",33,0.6,1,0,10508,39069,0,0
"A",34,0.6,1,0,10507,39070,0,0
"A",35,0.59,0,0,10504,39074,0,0
"A",36,0.59,0,1,10505,39073,0,0
"A",37,0.59,0,0,10503,39075,0,0
"A",38,0.59,1,0,10504,39074,0,0
"A",39,0.58,1,0,10501,39077,0,0
"A",40,0.58,0,2,10501,39077,0,0
"A",41,0.58,0,4,10504,39074,0,0
"A",42,0.57,5,3,10502,39076,0,0
"A",43,0.57,2,2,10499,39079,0,0
"A",44,0.57,6,1,10499,39079,0,0
"A",45,0.56,4,2,10500,39078,0,0
"A",46,0.56,2,6,10502,39076,0,0
"A",47,0.56,4,1,10502,39076,0,0
"A",48,0.55,9,6,10507,39071,0,0
"A",49,0.55,8,3,10510,39068,0,0
"A",50,0.55,12,5,10510,39067,0,0
"A",51,0.55,11,6,10514,39063,0,0
"A",52,0.55,11,5,10515,39062,0,0
"A",53,0.55,6,8,10521,39056,0,0
"A",54,0.54,10,9,10528,39049,0,0
"A",55,0.54,9,12,10531,39046,0,0
"A",56,0.54,15,12,10530,39047,0,0
"A",57,0.54,8,5,10536,39041,0,0
"A",58,0.54,12,7,10534,39043,0,0
"A",59,0.54,8,7,10535,39042,0,0
"A",60,0.53,15,8,10534,39043,0,0
"A",61,0.53,12,11,10534,39044,0,0
"A",62,0.53,14,8,10536,39042,0,0
"A",63,0.53,15,7,10537,39041,0,0
"A",64,0.53,21,3,10539,39039,0,0
"A",65,0.53,21,6,10542,39036,0,0
"A",66,0.53,19,13,10543,39035,0,0
"A",67,0.53,19,9,10539,39039,0,0
"A",68,0.53,16,6,10537,39041,0,0
"A",69,0.52,10,5,10533,39045,0,0
"A",70,0.52,20,3,10536,39042,0,0
"A",71,0.52,16,12,10538,39040,0,0
"A",72,0.52,17,7,10536,39042,0,0
"A",73,0.52,16,8,10537,39041,0,0
"A",74,0.52,11,5,10537,39041,0,0
"A",75,0.52,11,5,10539,39039,0,0
"A",76,0.52,11,4,10533,39046,0,0
"A",77,0.52,17,12,10532,39047,0,0
"A",78,0.52,9,7,10527,39052,0,0
"A",79,0.51,7,11,10526,39053,0,0
"A",80,0.51,14,6,10523,39056,0,0
"A",81,0.51,13,10,10522,39057,0,0
"A",82,0.51,12,5,10529,39050,0,0
"A",83,0.51,15,8,10535,39044,0,0
"A",84,0.51,8,8,10533,39046,0,0
"A",85,0.51,10,11,10538,39041,0,0
"A",86,0.51,10,2,10540,39039,0,0
"A",87,0.51,11,6,10543,39036,0,0
"A",88,0.5,5,4,10546,39033,0,0
"A",89,0.5,10,7,10544,39035,0,0
"A",90,0.5,5,1,10543,39036,0,0
"A",91,0.5,4,6,10546,39033,0,0
"A",92,0.5,6,7,10544,39035,0,0
"A",93,0.49,4,1,10544,39035,0,0
"A",94,0.49,4,5,10541,39038,0,0
"A",95,0.49,4,5,10543,39036,0,0
"A",96,0.49,4,0,10545,39034,0,0
"A",97,0.49,6,5,10545,39034,0,0
"A",98,0.49,2,0,10546,39033,0,0
"A",99,0.48,1,2,10548,39031,0,0
"A",100,0.48,2,0,10549,39030,0,0
"A",101,0.48,7,1,10551,39028,0,0
"A",102,0.48,2,2,10551,39028,0,0
"A",103,0.48,0,1,10553,39026,0,0
"A",104,0.47,1,1,10554,39025,0,0
"A",105,0.47,2,3,10552,39027,0,0
"A",106,0.47,2,1,10551,39028,0,0
"A",107,0.47,0,1,10551,39028,0,0
"A",108,0.47,3,0,10549,39030,0,0
"A",109,0.47,0,1,10548,39031,0,0
"A",110,0.46,2,2,10546,39033,0,0
"A",111,0.46,0,0,10542,39037,0,0
"A",112,0.46,0,2,10543,39036,0,0
"A",113,0.46,2,0,10545,39034,0,0
"A",114,0.46,1,1,10544,39036,0,0
"A",115,0.45,0,0,10544,39036,0,0
"A",116,0.45,0,2,10549,39031,0,0
"A",117,0.45,0,0,10548,39032,0,0
"A",118,0.45,0,0,10546,39034,0,0
"A",119,0.45,0,0,10547,39032,0,0
"A",120,0.44,0,1,10547,39032,0,0
"A",121,0.44,0,0,10549,39030,0,0
"A",122,0.44,0,0,10550,39029,0,0
"A",123,0.44,0,0,10546,39033,0,0
"A",124,0.43,0,0,10545,39034,0,0
"A",125,0.43,0,0,10542,39037,0,0
"A",126,0.43,0,1,10541,39038,0,0
"A",127,0.43,0,0,10540,39039,0,0
"A",128,0.42,0,0,10540,39039,0,0
"A",129,0.42,0,0,10544,39035,0,0
"A",130,0.42,0,0,10543,39036,0,0
"A",131,0.42,0,0,10544,39035,0,0
"A",132,0.42,1,1,10541,39038,0,0
"A",133,0.41,0,0,10540,39039,0,0
"A",134,0.41,0,0,10534,39045,0,0
"A",135,0.41,0,0,10536,39043,0,0
"A",136,0.41,1,0,10538,39041,0,0
"A",137,0.41,2,0,10538,39041,0,0
"A",138,0.41,0,0,10539,39040,0,0
"A",139,0.4,0,2,10540,39039,0,0
"A",140,0.4,2,0,10548,39031,0,0
"A",141,0.4,2,0,10546,39033,0,0
"A",142,0.4,3,2,10546,39034,0,0
"A",143,0.4,1,2,10546,39034,0,0
"A",144,0.39,2,1,10549,39031,0,0
"A",145,0.39,8,2,10547,39033,0,0
"A",146,0.39,3,3,10546,39034,0,0
"A",147,0.39,2,0,10549,39031,0,0
"A",148,0.39,6,1,10551,39029,0,0
"A",149,0.39,2,1,10548,39032,0,0
"A",150,0.38,6,7,10546,39034,0,0
"A",151,0.38,10,3,10543,39037,0,0
"A",152,0.38,10,4,10541,39039,0,0
"A",153,0.38,6,6,10544,39035,0,0
"A",154,0.38,6,5,10544,39035,0,0
"A",155,0.38,6,4,10543,39036,0,0
"A",156,0.38,11,2,10549,39030,0,0
"A",157,0.38,5,4,10554,39025,0,0
"A",158,0.38,14,11,10549,39030,0,0
"A",159,0.38,14,10,10547,39032,0,0
"A",160,0.38,9,9,10551,39028,0,0
"A",161,0.38,14,5,10544,39035,0,0
"A",162,0.38,11,9,10544,39035,0,0
"A",163,0.38,8,2,10544,39035,0,0
"A",164,0.38,9,6,10542,39037,0,0
"A",165,0.38,27,10,10544,39034,0,0
"A",166,0.38,19,11,10546,39032,0,0
"A",167,0.38,12,10,10545,39032,0,0
"A",168,0.38,15,12,10546,39031,0,0
"A",169,0.38,17,18,10551,39026,0,0
"A",170,0.38,25,11,10556,39020,0,0
"A",171,0.38,15,7,10555,39021,0,0
"A",172,0.38,19,14,10556,39020,0,0
"A",173,0.39,16,14,10555,39021,0,0
"A",174,0.39,15,14,10551,39025,0,0
"A",175,0.39,30,20,10552,39024,0,0
"A",176,0.39,34,15,10550,39026,0,0
"A",177,0.39,30,17,10543,39033,0,0
"A",178,0.39,29,15,10544,39032,0,0
"A",179,0.4,29,14,10542,39034,0,0
"A",180,0.4,28,25,10541,39035,0,0
"A",181,0.4,38,14,10540,39036,0,0
"A",182,0.4,32,18,10539,39037,0,0
"A",183,0.4,37,25,10538,39038,0,0
"A",184,0.41,30,19,10536,39040,0,0
"A",185,0.41,37,21,10537,39039,0,0
"A",186,0.41,32,16,10537,39039,0,0
"A",187,0.41,40,19,10540,39036,0,0
"A",188,0.41,44,21,10537,39039,0,0
"A",189,0.41,40,20,10536,39040,0,0
"A",190,0.42,47,21,10531,39044,0,0
"A",191,0.42,48,33,10533,39042,0,0
"A",192,0.42,41,34,10530,39045,0,0
"A",193,0.42,45,33,10526,39049,0,0
"A",194,0.43,29,36,10524,39051,0,0
"A",195,0.43,45,38,10525,39050,0,0
"A",196,0.43,54,35,10519,39056,0,0
"A",197,0.44,60,26,10516,39059,0,0
"A",198,0.44,46,32,10511,39064,0,0
"A",199,0.44,55,29,10508,39067,0,0
"A",200,0.45,52,45,10511,39064,0,0
"A",201,0.45,55,43,10511,39064,0,0
"A",202,0.45,67,38,10510,39065,0,0
"A",203,0.46,65,40,10511,39064,0,0
"A",204,0.46,59,34,10517,39057,0,0
"A",205,0.47,64,40,10519,39055,0,0
"A",206,0.47,72,38,10525,39049,0,0
"A",207,0.47,60,48,10522,39052,0,0
"A",208,0.48,74,50,10521,39053,0,0
"A",209,0.48,72,47,10526,39047,0,0
"A",210,0.49,89,53,10528,39045,0,0
"A",211,0.49,84,53,10530,39043,0,0
"A",212,0.5,97,64,10530,39044,0,0
"A",213,0.5,71,60,10530,39043,0,0
"A",214,0.51,93,52,10527,39046,0,0
"A",215,0.51,103,67,10524,39049,0,0
"A",216,0.52,99,57,10524,39049,0,0
"A",217,0.52,110,61,10526,39047,0,0
"A",218,0.53,96,55,10525,39048,0,0
"A",219,0.53,89,60,10518,39055,0,0
"A",220,0.54,106,73,10516,39056,0,0
"A",221,0.54,97,85,10519,39053,0,0
"A",222,0.55,104,89,10517,39055,0,0
"A",223,0.55,102,69,10513,39059,0,0
"A",224,0.56,121,80,10517,39055,0,0
"A",225,0.56,125,88,10516,39056,0,0
"A",226,0.57,127,64,10519,39053,0,0
"A",227,0.57,136,90,10522,39050,0,0
"A",228,0.58,148,84,10523,39049,0,0
"A",229,0.58,146,90,10523,39049,0,0
"A",230,0.59,133,96,10523,39049,0,0
"A",231,0.59,142,106,10521,39051,0,0
"A",232,0.6,135,101,10518,39055,0,0
"A",233,0.61,139,86,10518,39055,0,0
"A",234,0.61,139,112,10516,39057,0,0
"A",235,0.62,147,100,10518,39055,0,0
"A",236,0.62,161,94,10516,39057,0,0
